"lon","lat","state"
-77.0368707,38.9071923,"District of Columbia"
-89.3985283,32.3546679,"Mississippi"
-92.4623327,30.9842977,"Louisiana"
-82.9000751,32.1656221,"Georgia"
-76.6412712,39.3457549,"Maryland"
-81.1637245,33.836081,"South Carolina"
-86.902298,32.3182314,"Alabama"
-79.0192997,35.7595731,"North Carolina"
-75.5276699,38.9108325,"Delaware"
-78.6568942,37.4315734,"Virginia"
-86.5804473,35.5174913,"Tennessee"
-81.5157535,27.6648274,"Florida"
-91.8318334,35.20105,"Arkansas"
-74.2179,43.2994,"New York"
-89.3985283,40.6331249,"Illinois"
-74.4056612,40.0583238,"New Jersey"
-85.6023643,44.3148443,"Michigan"
-82.907123,40.4172871,"Ohio"
-99.9018131,31.9685988,"Texas"
-91.8318334,37.9642529,"Missouri"
-77.1945247,41.2033216,"Pennsylvania"
-73.087749,41.6032207,"Connecticut"
-86.1349019,40.2671941,"Indiana"
-116.419389,38.8026097,"Nevada"
-84.2700179,37.8393332,"Kentucky"
-71.3824374,42.4072107,"Massachusetts"
-97.092877,35.0077519,"Oklahoma"
-71.4774291,41.5800945,"Rhode Island"
-119.4179324,36.778261,"California"
-98.4842465,39.011902,"Kansas"
-88.7878678,43.7844397,"Wisconsin"
-94.6858998,46.729553,"Minnesota"
-99.9018131,41.4925374,"Nebraska"
-105.7820674,39.5500507,"Colorado"
-149.4936733,64.2008413,"Alaska"
-111.0937311,34.0489281,"Arizona"
-120.7401,47.7155,"Washington"
-80.4549026,38.5976262,"West Virginia"
-155.5827818,19.8967662,"Hawaii"
-105.8700901,34.5199402,"New Mexico"
-93.097702,41.8780025,"Iowa"
-120.5542012,43.8041334,"Oregon"
-107.2902839,43.0759678,"Wyoming"
-111.0937311,39.3209801,"Utah"
-71.5723953,43.1938516,"New Hampshire"
-99.9018131,43.9695148,"South Dakota"
-101.0020119,47.5514926,"North Dakota"
-69.4454689,45.253783,"Maine"
-114.7420408,44.0682019,"Idaho"
-72.5778415,44.5588028,"Vermont"
-110.3625658,46.8796822,"Montana"
